,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Boarded,predicted_survival
0,0.0,3,male,22.0,1,0,7.25,Southampton,0.0
1,1.0,1,female,38.0,1,0,71.2833,Cherbourg,1.0
2,1.0,3,female,26.0,0,0,7.925,Southampton,1.0
3,1.0,1,female,35.0,1,0,53.1,Southampton,1.0
4,0.0,3,male,35.0,0,0,8.05,Southampton,0.0
6,0.0,1,male,54.0,0,0,51.8625,Southampton,0.0
7,0.0,3,male,2.0,3,1,21.075,Southampton,0.0
8,1.0,3,female,27.0,0,2,11.1333,Southampton,1.0
9,1.0,2,female,14.0,1,0,30.0708,Cherbourg,1.0
10,1.0,3,female,4.0,1,1,16.7,Southampton,1.0
11,1.0,1,female,58.0,0,0,26.55,Southampton,1.0
12,0.0,3,male,20.0,0,0,8.05,Southampton,0.0
13,0.0,3,male,39.0,1,5,31.275,Southampton,0.0
14,0.0,3,female,14.0,0,0,7.8542,Southampton,1.0
15,1.0,2,female,55.0,0,0,16.0,Southampton,1.0
16,0.0,3,male,2.0,4,1,29.125,Queenstown,0.0
18,0.0,3,female,31.0,1,0,18.0,Southampton,1.0
20,0.0,2,male,35.0,0,0,26.0,Southampton,0.0
21,1.0,2,male,34.0,0,0,13.0,Southampton,0.0
22,1.0,3,female,15.0,0,0,8.0292,Queenstown,1.0
23,1.0,1,male,28.0,0,0,35.5,Southampton,0.0
24,0.0,3,female,8.0,3,1,21.075,Southampton,1.0
25,1.0,3,female,38.0,1,5,31.3875,Southampton,1.0
27,0.0,1,male,19.0,3,2,263.0,Southampton,0.0
30,0.0,1,male,40.0,0,0,27.7208,Cherbourg,0.0
33,0.0,2,male,66.0,0,0,10.5,Southampton,0.0
34,0.0,1,male,28.0,1,0,82.1708,Cherbourg,0.0
35,0.0,1,male,42.0,1,0,52.0,Southampton,0.0
37,0.0,3,male,21.0,0,0,8.05,Southampton,0.0
38,0.0,3,female,18.0,2,0,18.0,Southampton,1.0
39,1.0,3,female,14.0,1,0,11.2417,Cherbourg,1.0
40,0.0,3,female,40.0,1,0,9.475,Southampton,1.0
41,0.0,2,female,27.0,1,0,21.0,Southampton,1.0
43,1.0,2,female,3.0,1,2,41.5792,Cherbourg,1.0
44,1.0,3,female,19.0,0,0,7.8792,Queenstown,1.0
49,0.0,3,female,18.0,1,0,17.8,Southampton,1.0
50,0.0,3,male,7.0,4,1,39.6875,Southampton,0.0
51,0.0,3,male,21.0,0,0,7.8,Southampton,0.0
52,1.0,1,female,49.0,1,0,76.7292,Cherbourg,1.0
53,1.0,2,female,29.0,1,0,26.0,Southampton,1.0
54,0.0,1,male,65.0,0,1,61.9792,Southampton,0.0
56,1.0,2,female,21.0,0,0,10.5,Southampton,1.0
57,0.0,3,male,28.5,0,0,7.2292,Cherbourg,0.0
58,1.0,2,female,5.0,1,2,27.75,Southampton,1.0
59,0.0,3,male,11.0,5,2,46.9,Southampton,0.0
60,0.0,3,male,22.0,0,0,7.2292,Cherbourg,0.0
61,1.0,1,female,38.0,0,0,80.0,Southampton,1.0
62,0.0,1,male,45.0,1,0,83.475,Southampton,0.0
63,0.0,3,male,4.0,3,2,27.9,Southampton,0.0
66,1.0,2,female,29.0,0,0,10.5,Southampton,1.0
67,0.0,3,male,19.0,0,0,8.1583,Southampton,0.0
68,1.0,3,female,17.0,4,2,7.925,Southampton,1.0
69,0.0,3,male,26.0,2,0,8.6625,Southampton,0.0
70,0.0,2,male,32.0,0,0,10.5,Southampton,0.0
71,0.0,3,female,16.0,5,2,46.9,Southampton,1.0
72,0.0,2,male,21.0,0,0,73.5,Southampton,0.0
73,0.0,3,male,26.0,1,0,14.4542,Cherbourg,0.0
74,1.0,3,male,32.0,0,0,56.4958,Southampton,0.0
75,0.0,3,male,25.0,0,0,7.65,Southampton,0.0
78,1.0,2,male,0.83,0,2,29.0,Southampton,0.0
79,1.0,3,female,30.0,0,0,12.475,Southampton,1.0
80,0.0,3,male,22.0,0,0,9.0,Southampton,0.0
81,1.0,3,male,29.0,0,0,9.5,Southampton,0.0
83,0.0,1,male,28.0,0,0,47.1,Southampton,0.0
84,1.0,2,female,17.0,0,0,10.5,Southampton,1.0
85,1.0,3,female,33.0,3,0,15.85,Southampton,1.0
86,0.0,3,male,16.0,1,3,34.375,Southampton,0.0
88,1.0,1,female,23.0,3,2,263.0,Southampton,1.0
89,0.0,3,male,24.0,0,0,8.05,Southampton,0.0
90,0.0,3,male,29.0,0,0,8.05,Southampton,0.0
91,0.0,3,male,20.0,0,0,7.8542,Southampton,0.0
92,0.0,1,male,46.0,1,0,61.175,Southampton,0.0
93,0.0,3,male,26.0,1,2,20.575,Southampton,0.0
94,0.0,3,male,59.0,0,0,7.25,Southampton,0.0
96,0.0,1,male,71.0,0,0,34.6542,Cherbourg,0.0
97,1.0,1,male,23.0,0,1,63.3583,Cherbourg,0.0
98,1.0,2,female,34.0,0,1,23.0,Southampton,1.0
99,0.0,2,male,34.0,1,0,26.0,Southampton,0.0
100,0.0,3,female,28.0,0,0,7.8958,Southampton,1.0
102,0.0,1,male,21.0,0,1,77.2875,Southampton,0.0
103,0.0,3,male,33.0,0,0,8.6542,Southampton,0.0
104,0.0,3,male,37.0,2,0,7.925,Southampton,0.0
105,0.0,3,male,28.0,0,0,7.8958,Southampton,0.0
106,1.0,3,female,21.0,0,0,7.65,Southampton,1.0
108,0.0,3,male,38.0,0,0,7.8958,Southampton,0.0
110,0.0,1,male,47.0,0,0,52.0,Southampton,0.0
111,0.0,3,female,14.5,1,0,14.4542,Cherbourg,1.0
112,0.0,3,male,22.0,0,0,8.05,Southampton,0.0
113,0.0,3,female,20.0,1,0,9.825,Southampton,1.0
114,0.0,3,female,17.0,0,0,14.4583,Cherbourg,1.0
115,0.0,3,male,21.0,0,0,7.925,Southampton,0.0
116,0.0,3,male,70.5,0,0,7.75,Queenstown,0.0
117,0.0,2,male,29.0,1,0,21.0,Southampton,0.0
118,0.0,1,male,24.0,0,1,247.5208,Cherbourg,0.0
119,0.0,3,female,2.0,4,2,31.275,Southampton,1.0
120,0.0,2,male,21.0,2,0,73.5,Southampton,0.0
122,0.0,2,male,32.5,1,0,30.0708,Cherbourg,0.0
123,1.0,2,female,32.5,0,0,13.0,Southampton,1.0
124,0.0,1,male,54.0,0,1,77.2875,Southampton,0.0
125,1.0,3,male,12.0,1,0,11.2417,Cherbourg,0.0
127,1.0,3,male,24.0,0,0,7.1417,Southampton,0.0
129,0.0,3,male,45.0,0,0,6.975,Southampton,0.0
130,0.0,3,male,33.0,0,0,7.8958,Cherbourg,0.0
131,0.0,3,male,20.0,0,0,7.05,Southampton,0.0
132,0.0,3,female,47.0,1,0,14.5,Southampton,1.0
133,1.0,2,female,29.0,1,0,26.0,Southampton,1.0
134,0.0,2,male,25.0,0,0,13.0,Southampton,0.0
135,0.0,2,male,23.0,0,0,15.0458,Cherbourg,0.0
136,1.0,1,female,19.0,0,2,26.2833,Southampton,1.0
137,0.0,1,male,37.0,1,0,53.1,Southampton,0.0
138,0.0,3,male,16.0,0,0,9.2167,Southampton,0.0
139,0.0,1,male,24.0,0,0,79.2,Cherbourg,0.0
141,1.0,3,female,22.0,0,0,7.75,Southampton,1.0
142,1.0,3,female,24.0,1,0,15.85,Southampton,1.0
143,0.0,3,male,19.0,0,0,6.75,Queenstown,0.0
144,0.0,2,male,18.0,0,0,11.5,Southampton,0.0
145,0.0,2,male,19.0,1,1,36.75,Southampton,0.0
146,1.0,3,male,27.0,0,0,7.7958,Southampton,0.0
147,0.0,3,female,9.0,2,2,34.375,Southampton,1.0
148,0.0,2,male,36.5,0,2,26.0,Southampton,0.0
149,0.0,2,male,42.0,0,0,13.0,Southampton,0.0
150,0.0,2,male,51.0,0,0,12.525,Southampton,0.0
151,1.0,1,female,22.0,1,0,66.6,Southampton,1.0
152,0.0,3,male,55.5,0,0,8.05,Southampton,0.0
153,0.0,3,male,40.5,0,2,14.5,Southampton,0.0
155,0.0,1,male,51.0,0,1,61.3792,Cherbourg,0.0
156,1.0,3,female,16.0,0,0,7.7333,Queenstown,1.0
157,0.0,3,male,30.0,0,0,8.05,Southampton,0.0
160,0.0,3,male,44.0,0,1,16.1,Southampton,0.0
161,1.0,2,female,40.0,0,0,15.75,Southampton,1.0
162,0.0,3,male,26.0,0,0,7.775,Southampton,0.0
163,0.0,3,male,17.0,0,0,8.6625,Southampton,0.0
164,0.0,3,male,1.0,4,1,39.6875,Southampton,0.0
165,1.0,3,male,9.0,0,2,20.525,Southampton,0.0
167,0.0,3,female,45.0,1,4,27.9,Southampton,1.0
169,0.0,3,male,28.0,0,0,56.4958,Southampton,0.0
170,0.0,1,male,61.0,0,0,33.5,Belfast,0.0
171,0.0,3,male,4.0,4,1,29.125,Queenstown,0.0
172,1.0,3,female,1.0,1,1,11.1333,Southampton,1.0
173,0.0,3,male,21.0,0,0,7.925,Southampton,0.0
174,0.0,1,male,56.0,0,0,30.6958,Cherbourg,0.0
175,0.0,3,male,18.0,1,1,7.8542,Southampton,0.0
177,0.0,1,female,50.0,0,0,28.7125,Cherbourg,1.0
178,0.0,2,male,30.0,0,0,13.0,Southampton,0.0
179,0.0,3,male,36.0,0,0,0.0,Southampton,0.0
182,0.0,3,male,9.0,4,2,31.3875,Southampton,0.0
183,1.0,2,male,1.0,2,1,39.0,Southampton,0.0
184,1.0,3,female,4.0,0,2,22.025,Southampton,1.0
187,1.0,1,male,45.0,0,0,26.55,Southampton,0.0
188,0.0,3,male,40.0,1,1,15.5,Queenstown,0.0
189,0.0,3,male,36.0,0,0,7.8958,Southampton,0.0
190,1.0,2,female,32.0,0,0,13.0,Southampton,1.0
191,0.0,2,male,19.0,0,0,13.0,Southampton,0.0
192,1.0,3,female,19.0,1,0,7.8542,Southampton,1.0
193,1.0,2,male,3.0,1,1,26.0,Southampton,0.0
194,1.0,1,female,44.0,0,0,27.7208,Cherbourg,1.0
195,1.0,1,female,58.0,0,0,146.5208,Cherbourg,1.0
197,0.0,3,male,42.0,0,1,8.4042,Southampton,0.0
199,0.0,2,female,24.0,0,0,13.0,Southampton,1.0
200,0.0,3,male,28.0,0,0,9.5,Southampton,0.0
202,0.0,3,male,34.0,0,0,6.4958,Southampton,0.0
203,0.0,3,male,45.5,0,0,7.225,Cherbourg,0.0
204,1.0,3,male,18.0,0,0,8.05,Southampton,0.0
205,0.0,3,female,2.0,0,1,10.4625,Southampton,1.0
206,0.0,3,male,32.0,1,0,15.85,Southampton,0.0
207,1.0,3,male,26.0,0,0,18.7875,Cherbourg,0.0
208,1.0,3,female,16.0,0,0,7.75,Queenstown,1.0
209,1.0,1,male,40.0,0,0,31.0,Cherbourg,0.0
210,0.0,3,male,24.0,0,0,7.05,Southampton,0.0
211,1.0,2,female,35.0,0,0,21.0,Southampton,1.0
212,0.0,3,male,22.0,0,0,7.25,Southampton,0.0
213,0.0,2,male,30.0,0,0,13.0,Southampton,0.0
215,1.0,1,female,31.0,1,0,113.275,Cherbourg,1.0
216,1.0,3,female,27.0,0,0,7.925,Southampton,1.0
217,0.0,2,male,42.0,1,0,27.0,Southampton,0.0
218,1.0,1,female,32.0,0,0,76.2917,Cherbourg,1.0
219,0.0,2,male,30.0,0,0,10.5,Southampton,0.0
220,1.0,3,male,16.0,0,0,8.05,Southampton,0.0
221,0.0,2,male,27.0,0,0,13.0,Southampton,0.0
222,0.0,3,male,51.0,0,0,8.05,Southampton,0.0
224,1.0,1,male,38.0,1,0,90.0,Southampton,0.0
225,0.0,3,male,22.0,0,0,9.35,Southampton,0.0
226,1.0,2,male,19.0,0,0,10.5,Southampton,0.0
227,0.0,3,male,20.5,0,0,7.25,Southampton,0.0
228,0.0,2,male,18.0,0,0,13.0,Southampton,0.0
230,1.0,1,female,35.0,1,0,83.475,Southampton,1.0
231,0.0,3,male,29.0,0,0,7.775,Southampton,0.0
232,0.0,2,male,59.0,0,0,13.5,Southampton,0.0
233,1.0,3,female,5.0,4,2,31.3875,Southampton,1.0
234,0.0,2,male,24.0,0,0,10.5,Southampton,0.0
236,0.0,2,male,44.0,1,0,26.0,Southampton,0.0
237,1.0,2,female,8.0,0,2,26.25,Southampton,1.0
238,0.0,2,male,19.0,0,0,10.5,Southampton,0.0
239,0.0,2,male,33.0,0,0,12.275,Southampton,0.0
242,0.0,2,male,29.0,0,0,10.5,Southampton,0.0
243,0.0,3,male,22.0,0,0,7.125,Southampton,0.0
244,0.0,3,male,30.0,0,0,7.225,Cherbourg,0.0
245,0.0,1,male,44.0,2,0,90.0,Southampton,0.0
246,0.0,3,female,25.0,0,0,7.775,Southampton,1.0
247,1.0,2,female,24.0,0,2,14.5,Southampton,1.0
248,1.0,1,male,37.0,1,1,52.5542,Southampton,0.0
249,0.0,2,male,54.0,1,0,26.0,Southampton,0.0
251,0.0,3,female,29.0,1,1,10.4625,Southampton,1.0
252,0.0,1,male,62.0,0,0,26.55,Southampton,0.0
253,0.0,3,male,30.0,1,0,16.1,Southampton,0.0
254,0.0,3,female,41.0,0,2,20.2125,Southampton,1.0
255,1.0,3,female,29.0,0,2,15.2458,Cherbourg,1.0
257,1.0,1,female,30.0,0,0,86.5,Southampton,1.0
258,1.0,1,female,35.0,0,0,512.3292,Cherbourg,1.0
259,1.0,2,female,50.0,0,1,26.0,Southampton,1.0
261,1.0,3,male,3.0,4,2,31.3875,Southampton,0.0
262,0.0,1,male,52.0,1,1,79.65,Southampton,0.0
263,0.0,1,male,40.0,0,0,0.0,Southampton,0.0
265,0.0,2,male,36.0,0,0,10.5,Southampton,0.0
266,0.0,3,male,16.0,4,1,39.6875,Southampton,0.0
267,1.0,3,male,25.0,1,0,7.775,Southampton,0.0
268,1.0,1,female,58.0,0,1,153.4625,Southampton,1.0
269,1.0,1,female,35.0,0,0,135.6333,Cherbourg,1.0
271,1.0,3,male,25.0,0,0,0.0,Southampton,0.0
272,1.0,2,female,41.0,0,1,19.5,Southampton,1.0
273,0.0,1,male,37.0,0,1,29.7,Cherbourg,0.0
275,1.0,1,female,63.0,1,0,77.9583,Cherbourg,1.0
276,0.0,3,female,45.0,0,0,7.75,Southampton,1.0
278,0.0,3,male,7.0,4,1,29.125,Queenstown,0.0
279,1.0,3,female,35.0,1,1,20.25,Southampton,1.0
280,0.0,3,male,65.0,0,0,7.75,Queenstown,0.0
281,0.0,3,male,28.0,0,0,7.8542,Southampton,0.0
282,0.0,3,male,16.0,0,0,9.5,Southampton,0.0
283,1.0,3,male,19.0,0,0,8.05,Southampton,0.0
285,0.0,3,male,33.0,0,0,8.6625,Cherbourg,0.0
286,1.0,3,male,30.0,0,0,9.5,Southampton,0.0
287,0.0,3,male,22.0,0,0,7.8958,Southampton,0.0
288,1.0,2,male,42.0,0,0,13.0,Southampton,0.0
289,1.0,3,female,22.0,0,0,7.75,Queenstown,1.0
290,1.0,1,female,26.0,0,0,78.85,Southampton,1.0
291,1.0,1,female,19.0,1,0,91.0792,Cherbourg,1.0
292,0.0,2,male,36.0,0,0,12.875,Cherbourg,0.0
293,0.0,3,female,24.0,0,0,8.85,Southampton,1.0
294,0.0,3,male,24.0,0,0,7.8958,Southampton,0.0
296,0.0,3,male,23.5,0,0,7.2292,Cherbourg,0.0
297,0.0,1,female,2.0,1,2,151.55,Southampton,1.0
299,1.0,1,female,50.0,0,1,247.5208,Cherbourg,1.0
302,0.0,3,male,19.0,0,0,0.0,Southampton,0.0
305,1.0,1,male,0.92,1,2,151.55,Southampton,0.0
307,1.0,1,female,17.0,1,0,108.9,Cherbourg,1.0
308,0.0,2,male,30.0,1,0,24.0,Cherbourg,0.0
309,1.0,1,female,30.0,0,0,56.9292,Cherbourg,1.0
310,1.0,1,female,24.0,0,0,83.1583,Cherbourg,1.0
311,1.0,1,female,18.0,2,2,262.375,Cherbourg,1.0
312,0.0,2,female,26.0,1,1,26.0,Southampton,1.0
313,0.0,3,male,28.0,0,0,7.8958,Southampton,0.0
314,0.0,2,male,43.0,1,1,26.25,Southampton,0.0
315,1.0,3,female,26.0,0,0,7.8542,Southampton,1.0
316,1.0,2,female,24.0,1,0,26.0,Southampton,1.0
317,0.0,2,male,54.0,0,0,14.0,Southampton,0.0
318,1.0,1,female,31.0,0,2,164.8667,Southampton,1.0
319,1.0,1,female,40.0,1,1,134.5,Cherbourg,1.0
320,0.0,3,male,22.0,0,0,7.25,Southampton,0.0
321,0.0,3,male,27.0,0,0,7.8958,Southampton,0.0
322,1.0,2,female,30.0,0,0,12.35,Queenstown,1.0
323,1.0,2,female,22.0,1,1,29.0,Southampton,1.0
325,1.0,1,female,36.0,0,0,135.6333,Cherbourg,1.0
326,0.0,3,male,61.0,0,0,6.2375,Southampton,0.0
327,1.0,2,female,36.0,0,0,13.0,Southampton,1.0
328,1.0,3,female,31.0,1,1,20.525,Southampton,1.0
329,1.0,1,female,16.0,0,1,57.9792,Cherbourg,1.0
331,0.0,1,male,45.5,0,0,28.5,Southampton,0.0
332,0.0,1,male,38.0,0,1,153.4625,Southampton,0.0
333,0.0,3,male,16.0,2,0,18.0,Southampton,0.0
336,0.0,1,male,29.0,1,0,66.6,Southampton,0.0
337,1.0,1,female,41.0,0,0,134.5,Cherbourg,1.0
338,1.0,3,male,45.0,0,0,8.05,Southampton,0.0
339,0.0,1,male,45.0,0,0,35.5,Southampton,0.0
340,1.0,2,male,2.0,1,1,26.0,Southampton,0.0
341,1.0,1,female,24.0,3,2,263.0,Southampton,1.0
342,0.0,2,male,28.0,0,0,13.0,Southampton,0.0
343,0.0,2,male,25.0,0,0,13.0,Southampton,0.0
344,0.0,2,male,36.0,0,0,13.0,Southampton,0.0
345,1.0,2,female,24.0,0,0,13.0,Southampton,1.0
346,1.0,2,female,40.0,0,0,13.0,Southampton,1.0
348,1.0,3,male,3.0,1,1,15.9,Southampton,0.0
349,0.0,3,male,42.0,0,0,8.6625,Southampton,0.0
350,0.0,3,male,23.0,0,0,9.225,Southampton,0.0
352,0.0,3,male,15.0,1,1,7.2292,Cherbourg,0.0
353,0.0,3,male,25.0,1,0,17.8,Southampton,0.0
355,0.0,3,male,28.0,0,0,9.5,Southampton,0.0
356,1.0,1,female,22.0,0,1,55.0,Southampton,1.0
357,0.0,2,female,38.0,0,0,13.0,Southampton,1.0
360,0.0,3,male,40.0,1,4,27.9,Southampton,0.0
361,0.0,2,male,29.0,1,0,27.7208,Cherbourg,0.0
362,0.0,3,female,45.0,0,1,14.4542,Cherbourg,1.0
363,0.0,3,male,35.0,0,0,7.05,Southampton,0.0
365,0.0,3,male,30.0,0,0,7.25,Southampton,0.0
366,1.0,1,female,60.0,1,0,75.25,Cherbourg,1.0
369,1.0,1,female,24.0,0,0,69.3,Cherbourg,1.0
370,1.0,1,male,25.0,1,0,55.4417,Cherbourg,0.0
371,0.0,3,male,18.0,1,0,6.4958,Southampton,0.0
372,0.0,3,male,19.0,0,0,8.05,Southampton,0.0
373,0.0,1,male,22.0,0,0,135.6333,Cherbourg,0.0
374,0.0,3,female,3.0,3,1,21.075,Southampton,1.0
376,1.0,3,female,22.0,0,0,7.25,Southampton,1.0
377,0.0,1,male,27.0,0,2,211.5,Southampton,0.0
378,0.0,3,male,20.0,0,0,4.0125,Cherbourg,0.0
379,0.0,3,male,19.0,0,0,7.775,Southampton,0.0
380,1.0,1,female,42.0,0,0,227.525,Cherbourg,1.0
381,1.0,3,female,1.0,0,2,15.7417,Cherbourg,1.0
382,0.0,3,male,32.0,0,0,7.925,Southampton,0.0
383,1.0,1,female,35.0,1,0,52.0,Southampton,1.0
385,0.0,2,male,18.0,0,0,73.5,Southampton,0.0
386,0.0,3,male,1.0,5,2,46.9,Southampton,0.0
387,1.0,2,female,36.0,0,0,13.0,Southampton,1.0
389,1.0,2,female,17.0,0,0,12.0,Cherbourg,1.0
390,1.0,1,male,36.0,1,2,120.0,Southampton,0.0
391,1.0,3,male,21.0,0,0,7.7958,Southampton,0.0
392,0.0,3,male,28.0,2,0,7.925,Southampton,0.0
393,1.0,1,female,23.0,1,0,113.275,Cherbourg,1.0
394,1.0,3,female,24.0,0,2,16.7,Southampton,1.0
395,0.0,3,male,22.0,0,0,7.7958,Southampton,0.0
396,0.0,3,female,31.0,0,0,7.8542,Southampton,1.0
397,0.0,2,male,46.0,0,0,26.0,Southampton,0.0
398,0.0,2,male,23.0,0,0,10.5,Southampton,0.0
399,1.0,2,female,28.0,0,0,12.65,Southampton,1.0
400,1.0,3,male,39.0,0,0,7.925,Southampton,0.0
401,0.0,3,male,26.0,0,0,8.05,Southampton,0.0
402,0.0,3,female,21.0,1,0,9.825,Southampton,1.0
403,0.0,3,male,28.0,1,0,15.85,Southampton,0.0
404,0.0,3,female,20.0,0,0,8.6625,Southampton,1.0
405,0.0,2,male,34.0,1,0,21.0,Southampton,0.0
406,0.0,3,male,51.0,0,0,7.75,Southampton,0.0
407,1.0,2,male,3.0,1,1,18.75,Southampton,0.0
408,0.0,3,male,21.0,0,0,7.775,Southampton,0.0
412,1.0,1,female,33.0,1,0,90.0,Southampton,1.0
414,1.0,3,male,44.0,0,0,7.925,Southampton,0.0
416,1.0,2,female,34.0,1,1,32.5,Southampton,1.0
417,1.0,2,female,18.0,0,2,13.0,Southampton,1.0
418,0.0,2,male,30.0,0,0,13.0,Southampton,0.0
419,0.0,3,female,10.0,0,2,24.15,Southampton,1.0
421,0.0,3,male,21.0,0,0,7.7333,Queenstown,0.0
422,0.0,3,male,29.0,0,0,7.875,Southampton,0.0
423,0.0,3,female,28.0,1,1,14.4,Southampton,1.0
424,0.0,3,male,18.0,1,1,20.2125,Southampton,0.0
426,1.0,2,female,28.0,1,0,26.0,Southampton,1.0
