,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Boarded,predicted_survival
427,1.0,2,female,19.0,0,0,26.0,Southampton,1.0
429,1.0,3,male,32.0,0,0,8.05,Southampton,0.0
430,1.0,1,male,28.0,0,0,26.55,Southampton,0.0
432,1.0,2,female,42.0,1,0,26.0,Southampton,1.0
433,0.0,3,male,17.0,0,0,7.125,Southampton,0.0
434,0.0,1,male,50.0,1,0,55.9,Cherbourg,0.0
435,1.0,1,female,14.0,1,2,120.0,Southampton,1.0
436,0.0,3,female,21.0,2,2,34.375,Southampton,1.0
437,1.0,2,female,24.0,2,3,18.75,Southampton,1.0
438,0.0,1,male,64.0,1,4,263.0,Southampton,0.0
439,0.0,2,male,31.0,0,0,10.5,Southampton,0.0
440,1.0,2,female,45.0,1,1,26.25,Southampton,1.0
441,0.0,3,male,20.0,0,0,9.5,Southampton,0.0
442,0.0,3,male,25.0,1,0,7.775,Southampton,0.0
443,1.0,2,female,28.0,0,0,13.0,Southampton,1.0
445,1.0,1,male,4.0,0,2,81.8583,Southampton,0.0
446,1.0,2,female,13.0,0,1,19.5,Southampton,1.0
447,1.0,1,male,34.0,0,0,26.55,Southampton,0.0
448,1.0,3,female,5.0,2,1,19.2583,Cherbourg,1.0
449,1.0,1,male,52.0,0,0,30.5,Southampton,0.0
450,0.0,2,male,36.0,1,2,27.75,Southampton,0.0
452,0.0,1,male,30.0,0,0,27.75,Southampton,0.0
453,1.0,1,male,49.0,1,0,89.1042,Cherbourg,0.0
455,1.0,3,male,29.0,0,0,7.8958,Cherbourg,0.0
456,0.0,1,male,65.0,0,0,26.55,Cherbourg,0.0
458,1.0,2,female,50.0,0,0,10.5,Southampton,1.0
460,1.0,1,male,48.0,0,0,26.55,Southampton,0.0
461,0.0,3,male,34.0,0,0,8.05,Southampton,0.0
462,0.0,1,male,47.0,0,0,38.5,Southampton,0.0
463,0.0,2,male,48.0,0,0,13.0,Southampton,0.0
465,0.0,3,male,38.0,0,0,7.05,Southampton,0.0
467,0.0,1,male,56.0,0,0,26.55,Southampton,0.0
469,1.0,3,female,0.75,2,1,19.2583,Cherbourg,1.0
471,0.0,3,male,38.0,0,0,8.6625,Southampton,0.0
472,1.0,2,female,33.0,1,2,27.75,Southampton,1.0
473,1.0,2,female,23.0,0,0,13.7917,Southampton,1.0
474,0.0,3,female,22.0,0,0,9.8375,Southampton,1.0
476,0.0,2,male,34.0,1,0,21.0,Southampton,0.0
477,0.0,3,male,29.0,1,0,7.0458,Southampton,0.0
478,0.0,3,male,22.0,0,0,7.5208,Southampton,0.0
479,1.0,3,female,2.0,0,1,12.2875,Southampton,1.0
480,0.0,3,male,9.0,5,2,46.9,Southampton,0.0
482,0.0,3,male,50.0,0,0,8.05,Southampton,0.0
483,1.0,3,female,63.0,0,0,9.5875,Southampton,1.0
484,1.0,1,male,25.0,1,0,91.0792,Cherbourg,0.0
486,1.0,1,female,35.0,1,0,90.0,Southampton,1.0
487,0.0,1,male,58.0,0,0,29.7,Cherbourg,0.0
488,0.0,3,male,30.0,0,0,8.05,Southampton,0.0
489,1.0,3,male,9.0,1,1,15.9,Southampton,0.0
491,0.0,3,male,21.0,0,0,7.25,Southampton,0.0
492,0.0,1,male,55.0,0,0,30.5,Southampton,0.0
493,0.0,1,male,71.0,0,0,49.5042,Cherbourg,0.0
494,0.0,3,male,21.0,0,0,8.05,Southampton,0.0
496,1.0,1,female,54.0,1,0,78.2667,Cherbourg,1.0
498,0.0,1,female,25.0,1,2,151.55,Southampton,1.0
499,0.0,3,male,24.0,0,0,7.7958,Southampton,0.0
500,0.0,3,male,17.0,0,0,8.6625,Southampton,0.0
501,0.0,3,female,21.0,0,0,7.75,Queenstown,1.0
503,0.0,3,female,37.0,0,0,9.5875,Southampton,1.0
504,1.0,1,female,16.0,0,0,86.5,Southampton,1.0
505,0.0,1,male,18.0,1,0,108.9,Cherbourg,0.0
506,1.0,2,female,33.0,0,2,26.0,Southampton,1.0
508,0.0,3,male,28.0,0,0,22.525,Southampton,0.0
509,1.0,3,male,26.0,0,0,56.4958,Southampton,0.0
510,1.0,3,male,29.0,0,0,7.75,Queenstown,0.0
512,1.0,1,male,36.0,0,0,26.2875,Southampton,0.0
513,1.0,1,female,54.0,1,0,59.4,Cherbourg,1.0
514,0.0,3,male,24.0,0,0,7.4958,Southampton,0.0
515,0.0,1,male,47.0,0,0,34.0208,Southampton,0.0
516,1.0,2,female,34.0,0,0,10.5,Southampton,1.0
518,1.0,2,female,36.0,1,0,26.0,Southampton,1.0
519,0.0,3,male,32.0,0,0,7.8958,Southampton,0.0
520,1.0,1,female,30.0,0,0,93.5,Southampton,1.0
521,0.0,3,male,22.0,0,0,7.8958,Southampton,0.0
523,1.0,1,female,44.0,0,1,57.9792,Cherbourg,1.0
525,0.0,3,male,40.5,0,0,7.75,Queenstown,0.0
526,1.0,2,female,50.0,0,0,10.5,Southampton,1.0
528,0.0,3,male,39.0,0,0,7.925,Southampton,0.0
529,0.0,2,male,23.0,2,1,11.5,Southampton,0.0
530,1.0,2,female,2.0,1,1,26.0,Southampton,1.0
532,0.0,3,male,17.0,1,1,7.2292,Cherbourg,0.0
534,0.0,3,female,30.0,0,0,8.6625,Southampton,1.0
535,1.0,2,female,7.0,0,2,26.25,Southampton,1.0
536,0.0,1,male,45.0,0,0,26.55,Southampton,0.0
537,1.0,1,female,30.0,0,0,106.425,Cherbourg,1.0
539,1.0,1,female,22.0,0,2,49.5,Cherbourg,1.0
540,1.0,1,female,36.0,0,2,71.0,Southampton,1.0
541,0.0,3,female,9.0,4,2,31.275,Southampton,1.0
542,0.0,3,female,11.0,4,2,31.275,Southampton,1.0
543,1.0,2,male,32.0,1,0,26.0,Southampton,0.0
544,0.0,1,male,50.0,1,0,106.425,Cherbourg,0.0
545,0.0,1,male,64.0,0,0,26.0,Southampton,0.0
546,1.0,2,female,19.0,1,0,26.0,Southampton,1.0
548,0.0,3,male,33.0,1,1,20.525,Southampton,0.0
549,1.0,2,male,8.0,1,1,36.75,Southampton,0.0
550,1.0,1,male,17.0,0,2,110.8833,Cherbourg,0.0
551,0.0,2,male,27.0,0,0,26.0,Southampton,0.0
553,1.0,3,male,22.0,0,0,7.225,Cherbourg,0.0
554,1.0,3,female,22.0,0,0,7.775,Southampton,1.0
555,0.0,1,male,62.0,0,0,26.55,Southampton,0.0
556,1.0,1,female,48.0,1,0,39.6,Cherbourg,1.0
558,1.0,1,female,39.0,1,1,79.65,Southampton,1.0
559,1.0,3,female,36.0,1,0,17.4,Southampton,1.0
561,0.0,3,male,40.0,0,0,7.8958,Southampton,0.0
562,0.0,2,male,28.0,0,0,13.5,Southampton,0.0
565,0.0,3,male,24.0,2,0,24.15,Southampton,0.0
566,0.0,3,male,19.0,0,0,7.8958,Southampton,0.0
567,0.0,3,female,29.0,0,4,21.075,Southampton,1.0
569,1.0,3,male,32.0,0,0,7.8542,Southampton,0.0
570,1.0,2,male,62.0,0,0,10.5,Southampton,0.0
571,1.0,1,female,53.0,2,0,51.4792,Southampton,1.0
572,1.0,1,male,36.0,0,0,26.3875,Southampton,0.0
574,0.0,3,male,16.0,0,0,8.05,Southampton,0.0
575,0.0,3,male,19.0,0,0,14.5,Southampton,0.0
576,1.0,2,female,34.0,0,0,13.0,Southampton,1.0
577,1.0,1,female,39.0,1,0,55.9,Cherbourg,1.0
579,1.0,3,male,32.0,0,0,7.925,Southampton,0.0
580,1.0,2,female,25.0,1,1,30.0,Southampton,1.0
581,1.0,1,female,39.0,1,1,110.8833,Cherbourg,1.0
582,0.0,2,male,54.0,0,0,26.0,Southampton,0.0
583,0.0,1,male,36.0,0,0,40.125,Southampton,0.0
585,1.0,1,female,18.0,0,2,79.65,Southampton,1.0
586,0.0,2,male,47.0,0,0,15.0,Southampton,0.0
587,1.0,1,male,60.0,1,1,79.2,Cherbourg,0.0
588,0.0,3,male,22.0,0,0,8.05,Southampton,0.0
590,0.0,3,male,35.0,0,0,7.125,Southampton,0.0
591,1.0,1,female,52.0,1,0,78.2667,Cherbourg,1.0
592,0.0,3,male,47.0,0,0,7.25,Southampton,0.0
594,0.0,2,male,37.0,1,0,26.0,Southampton,0.0
595,0.0,3,male,36.0,1,1,24.15,Southampton,0.0
597,0.0,3,male,49.0,0,0,0.0,Southampton,0.0
599,1.0,1,male,49.0,1,0,56.9292,Cherbourg,0.0
600,1.0,2,female,24.0,2,1,27.0,Southampton,1.0
603,0.0,3,male,44.0,0,0,8.05,Southampton,0.0
604,1.0,1,male,35.0,0,0,26.55,Southampton,0.0
605,0.0,3,male,36.0,1,0,15.55,Southampton,0.0
606,0.0,3,male,30.0,0,0,7.8958,Southampton,0.0
607,1.0,1,male,27.0,0,0,30.5,Southampton,0.0
608,1.0,2,female,22.0,1,2,41.5792,Cherbourg,1.0
609,1.0,1,female,40.0,0,0,153.4625,Southampton,1.0
610,0.0,3,female,39.0,1,5,31.275,Southampton,1.0
614,0.0,3,male,35.0,0,0,8.05,Southampton,0.0
615,1.0,2,female,24.0,1,2,65.0,Southampton,1.0
616,0.0,3,male,34.0,1,1,14.4,Southampton,0.0
617,0.0,3,female,26.0,1,0,16.1,Southampton,1.0
618,1.0,2,female,4.0,2,1,39.0,Southampton,1.0
619,0.0,2,male,26.0,0,0,10.5,Southampton,0.0
620,0.0,3,male,27.0,1,0,14.4542,Cherbourg,0.0
621,1.0,1,male,42.0,1,0,52.5542,Southampton,0.0
622,1.0,3,male,20.0,1,1,15.7417,Cherbourg,0.0
623,0.0,3,male,21.0,0,0,7.8542,Southampton,0.0
624,0.0,3,male,21.0,0,0,16.1,Southampton,0.0
625,0.0,1,male,61.0,0,0,32.3208,Southampton,0.0
626,0.0,2,male,57.0,0,0,12.35,Queenstown,0.0
627,1.0,1,female,21.0,0,0,77.9583,Cherbourg,1.0
628,0.0,3,male,26.0,0,0,7.8958,Southampton,0.0
630,1.0,1,male,80.0,0,0,30.0,Southampton,0.0
631,0.0,3,male,51.0,0,0,7.0542,Southampton,0.0
632,1.0,1,male,32.0,0,0,30.5,Southampton,0.0
634,0.0,3,female,9.0,3,2,27.9,Southampton,1.0
635,1.0,2,female,28.0,0,0,13.0,Southampton,1.0
636,0.0,3,male,32.0,0,0,7.925,Southampton,0.0
637,0.0,2,male,31.0,1,1,26.25,Southampton,0.0
638,0.0,3,female,41.0,0,5,39.6875,Southampton,1.0
640,0.0,3,male,20.0,0,0,7.8542,Southampton,0.0
641,1.0,1,female,24.0,0,0,69.3,Cherbourg,1.0
642,0.0,3,female,2.0,3,2,27.9,Southampton,1.0
644,1.0,3,female,0.75,2,1,19.2583,Cherbourg,1.0
645,1.0,1,male,48.0,1,0,76.7292,Cherbourg,0.0
646,0.0,3,male,19.0,0,0,7.8958,Southampton,0.0
647,1.0,1,male,56.0,0,0,35.5,Southampton,0.0
649,1.0,3,female,23.0,0,0,7.55,Southampton,1.0
651,1.0,2,female,18.0,0,1,23.0,Southampton,1.0
652,0.0,3,male,21.0,0,0,8.4333,Southampton,0.0
654,0.0,3,female,18.0,0,0,6.75,Queenstown,1.0
655,0.0,2,male,24.0,2,0,73.5,Southampton,0.0
657,0.0,3,female,32.0,1,1,15.5,Queenstown,1.0
658,0.0,2,male,23.0,0,0,13.0,Southampton,0.0
659,0.0,1,male,58.0,0,2,113.275,Cherbourg,0.0
660,1.0,1,male,50.0,2,0,133.65,Southampton,0.0
661,0.0,3,male,40.0,0,0,7.225,Cherbourg,0.0
662,0.0,1,male,47.0,0,0,25.5875,Southampton,0.0
663,0.0,3,male,36.0,0,0,7.4958,Southampton,0.0
664,1.0,3,male,20.0,1,0,7.925,Southampton,0.0
665,0.0,2,male,32.0,2,0,73.5,Southampton,0.0
666,0.0,2,male,25.0,0,0,13.0,Southampton,0.0
668,0.0,3,male,43.0,0,0,8.05,Southampton,0.0
670,1.0,2,female,40.0,1,1,39.0,Southampton,1.0
671,0.0,1,male,31.0,1,0,52.0,Southampton,0.0
672,0.0,2,male,70.0,0,0,10.5,Southampton,0.0
673,1.0,2,male,31.0,0,0,13.0,Southampton,0.0
675,0.0,3,male,18.0,0,0,7.775,Southampton,0.0
676,0.0,3,male,24.5,0,0,8.05,Southampton,0.0
677,1.0,3,female,18.0,0,0,9.8417,Southampton,1.0
678,0.0,3,female,43.0,1,6,46.9,Southampton,1.0
679,1.0,1,male,36.0,0,1,512.3292,Cherbourg,0.0
681,1.0,1,male,27.0,0,0,76.7292,Cherbourg,0.0
682,0.0,3,male,20.0,0,0,9.225,Southampton,0.0
683,0.0,3,male,14.0,5,2,46.9,Southampton,0.0
684,0.0,2,male,60.0,1,1,39.0,Southampton,0.0
685,0.0,2,male,25.0,1,2,41.5792,Cherbourg,0.0
686,0.0,3,male,14.0,4,1,39.6875,Southampton,0.0
687,0.0,3,male,19.0,0,0,10.1708,Southampton,0.0
688,0.0,3,male,18.0,0,0,7.7958,Southampton,0.0
689,1.0,1,female,15.0,0,1,211.3375,Southampton,1.0
690,1.0,1,male,31.0,1,0,57.0,Southampton,0.0
691,1.0,3,female,4.0,0,1,13.4167,Southampton,1.0
693,0.0,3,male,25.0,0,0,7.225,Cherbourg,0.0
694,0.0,1,male,60.0,0,0,26.55,Southampton,0.0
695,0.0,2,male,52.0,0,0,13.5,Southampton,0.0
696,0.0,3,male,44.0,0,0,8.05,Queenstown,0.0
698,0.0,1,male,49.0,1,1,110.8833,Cherbourg,0.0
699,0.0,3,male,42.0,0,0,7.65,Southampton,0.0
700,1.0,1,female,18.0,1,0,227.525,Cherbourg,1.0
701,1.0,1,male,35.0,0,0,26.2875,Southampton,0.0
702,0.0,3,female,18.0,0,1,14.4542,Cherbourg,1.0
703,0.0,3,male,25.0,0,0,7.7417,Queenstown,0.0
704,0.0,3,male,26.0,1,0,7.8542,Southampton,0.0
705,0.0,2,male,39.0,0,0,26.0,Southampton,0.0
706,1.0,2,female,45.0,0,0,13.5,Southampton,1.0
707,1.0,1,male,42.0,0,0,26.2875,Southampton,0.0
708,1.0,1,female,22.0,0,0,151.55,Southampton,1.0
710,1.0,1,female,24.0,0,0,49.5042,Cherbourg,1.0
712,1.0,1,male,48.0,1,0,52.0,Southampton,0.0
713,0.0,3,male,29.0,0,0,9.4833,Southampton,0.0
714,0.0,2,male,52.0,0,0,13.0,Southampton,0.0
715,0.0,3,male,19.0,0,0,7.65,Southampton,0.0
716,1.0,1,female,38.0,0,0,227.525,Cherbourg,1.0
717,1.0,2,female,27.0,0,0,10.5,Southampton,1.0
719,0.0,3,male,33.0,0,0,7.775,Southampton,0.0
720,1.0,2,female,6.0,0,1,33.0,Southampton,1.0
721,0.0,3,male,17.0,1,0,7.0542,Southampton,0.0
722,0.0,2,male,34.0,0,0,13.0,Southampton,0.0
723,0.0,2,male,50.0,0,0,13.0,Southampton,0.0
724,1.0,1,male,27.0,1,0,53.1,Southampton,0.0
725,0.0,3,male,20.0,0,0,8.6625,Southampton,0.0
726,1.0,2,female,30.0,3,0,21.0,Southampton,1.0
728,0.0,2,male,25.0,1,0,26.0,Southampton,0.0
729,0.0,3,female,25.0,1,0,7.925,Southampton,1.0
730,1.0,1,female,29.0,0,0,211.3375,Southampton,1.0
731,0.0,3,male,11.0,0,0,18.7875,Cherbourg,0.0
733,0.0,2,male,23.0,0,0,13.0,Southampton,0.0
734,0.0,2,male,23.0,0,0,13.0,Southampton,0.0
735,0.0,3,male,28.5,0,0,16.1,Southampton,0.0
736,0.0,3,female,48.0,1,3,34.375,Southampton,1.0
737,1.0,1,male,35.0,0,0,512.3292,Cherbourg,0.0
741,0.0,1,male,36.0,1,0,78.85,Southampton,0.0
742,1.0,1,female,21.0,2,2,262.375,Cherbourg,1.0
743,0.0,3,male,24.0,1,0,16.1,Southampton,0.0
744,1.0,3,male,31.0,0,0,7.925,Southampton,0.0
745,0.0,1,male,70.0,1,1,71.0,Southampton,0.0
746,0.0,3,male,16.0,1,1,20.25,Southampton,0.0
747,1.0,2,female,30.0,0,0,13.0,Southampton,1.0
748,0.0,1,male,19.0,1,0,53.1,Southampton,0.0
749,0.0,3,male,31.0,0,0,7.75,Queenstown,0.0
750,1.0,2,female,4.0,1,1,23.0,Southampton,1.0
751,1.0,3,male,6.0,0,1,12.475,Southampton,0.0
752,0.0,3,male,33.0,0,0,9.5,Southampton,0.0
753,0.0,3,male,23.0,0,0,7.8958,Southampton,0.0
754,1.0,2,female,48.0,1,2,65.0,Southampton,1.0
755,1.0,2,male,0.67,1,1,14.5,Southampton,0.0
756,0.0,3,male,28.0,0,0,7.7958,Southampton,0.0
757,0.0,2,male,18.0,0,0,11.5,Southampton,0.0
758,0.0,3,male,34.0,0,0,8.05,Southampton,0.0
759,1.0,1,female,33.0,0,0,86.5,Southampton,1.0
761,0.0,3,male,41.0,0,0,7.125,Southampton,0.0
762,1.0,3,male,20.0,0,0,7.2292,Cherbourg,0.0
763,1.0,1,female,36.0,1,2,120.0,Southampton,1.0
764,0.0,3,male,16.0,0,0,7.775,Southampton,0.0
765,1.0,1,female,51.0,1,0,77.9583,Cherbourg,1.0
767,0.0,3,female,30.5,0,0,7.75,Queenstown,1.0
769,0.0,3,male,32.0,0,0,8.3625,Southampton,0.0
770,0.0,3,male,24.0,0,0,9.5,Southampton,0.0
771,0.0,3,male,48.0,0,0,7.8542,Southampton,0.0
772,0.0,2,female,57.0,0,0,10.5,Southampton,1.0
774,1.0,2,female,54.0,1,3,23.0,Southampton,1.0
775,0.0,3,male,18.0,0,0,7.75,Southampton,0.0
777,1.0,3,female,5.0,0,0,12.475,Southampton,1.0
779,1.0,1,female,43.0,0,1,211.3375,Southampton,1.0
780,1.0,3,female,13.0,0,0,7.2292,Cherbourg,1.0
781,1.0,1,female,17.0,1,0,57.0,Southampton,1.0
782,0.0,1,male,29.0,0,0,30.0,Southampton,0.0
784,0.0,3,male,25.0,0,0,7.05,Southampton,0.0
785,0.0,3,male,25.0,0,0,7.25,Southampton,0.0
786,1.0,3,female,18.0,0,0,7.4958,Southampton,1.0
787,0.0,3,male,8.0,4,1,29.125,Queenstown,0.0
788,1.0,3,male,1.0,1,2,20.575,Southampton,0.0
789,0.0,1,male,46.0,0,0,79.2,Cherbourg,0.0
791,0.0,2,male,16.0,0,0,26.0,Southampton,0.0
794,0.0,3,male,25.0,0,0,7.8958,Southampton,0.0
795,0.0,2,male,39.0,0,0,13.0,Southampton,0.0
796,1.0,1,female,49.0,0,0,25.9292,Southampton,1.0
797,1.0,3,female,31.0,0,0,8.6833,Southampton,1.0
798,0.0,3,male,30.0,0,0,7.2292,Cherbourg,0.0
799,0.0,3,female,30.0,1,1,24.15,Southampton,1.0
800,0.0,2,male,34.0,0,0,13.0,Southampton,0.0
801,1.0,2,female,31.0,1,1,26.25,Southampton,1.0
802,1.0,1,male,11.0,1,2,120.0,Southampton,0.0
803,1.0,3,male,0.42,0,1,8.5167,Cherbourg,0.0
804,1.0,3,male,27.0,0,0,6.975,Southampton,0.0
805,0.0,3,male,31.0,0,0,7.775,Southampton,0.0
806,0.0,1,male,39.0,0,0,0.0,Belfast,0.0
807,0.0,3,female,18.0,0,0,7.775,Southampton,1.0
808,0.0,2,male,39.0,0,0,13.0,Southampton,0.0
809,1.0,1,female,33.0,1,0,53.1,Southampton,1.0
810,0.0,3,male,26.0,0,0,7.8875,Southampton,0.0
811,0.0,3,male,39.0,0,0,24.15,Southampton,0.0
812,0.0,2,male,35.0,0,0,10.5,Southampton,0.0
813,0.0,3,female,6.0,4,2,31.275,Southampton,1.0
814,0.0,3,male,30.5,0,0,8.05,Southampton,0.0
816,0.0,3,female,23.0,0,0,7.925,Southampton,1.0
817,0.0,2,male,31.0,1,1,37.0042,Cherbourg,0.0
818,0.0,3,male,43.0,0,0,6.45,Southampton,0.0
819,0.0,3,male,10.0,3,2,27.9,Southampton,0.0
820,1.0,1,female,52.0,1,1,93.5,Southampton,1.0
821,1.0,3,male,27.0,0,0,8.6625,Southampton,0.0
822,0.0,1,male,38.0,0,0,0.0,Southampton,0.0
823,1.0,3,female,27.0,0,1,12.475,Southampton,1.0
824,0.0,3,male,2.0,4,1,39.6875,Southampton,0.0
827,1.0,2,male,1.0,0,2,37.0042,Cherbourg,0.0
829,1.0,1,female,62.0,0,0,80.0,Southampton,1.0
830,1.0,3,female,15.0,1,0,14.4542,Cherbourg,1.0
831,1.0,2,male,0.83,1,1,18.75,Southampton,0.0
833,0.0,3,male,23.0,0,0,7.8542,Southampton,0.0
834,0.0,3,male,18.0,0,0,8.3,Southampton,0.0
835,1.0,1,female,39.0,1,1,83.1583,Cherbourg,1.0
836,0.0,3,male,21.0,0,0,8.6625,Southampton,0.0
838,1.0,3,male,32.0,0,0,56.4958,Southampton,0.0
840,0.0,3,male,20.0,0,0,7.925,Southampton,0.0
841,0.0,2,male,16.0,0,0,10.5,Southampton,0.0
842,1.0,1,female,30.0,0,0,31.0,Southampton,1.0
843,0.0,3,male,34.5,0,0,6.4375,Cherbourg,0.0
844,0.0,3,male,17.0,0,0,8.6625,Southampton,0.0
845,0.0,3,male,42.0,0,0,7.55,Southampton,0.0
847,0.0,3,male,35.0,0,0,7.8958,Southampton,0.0
848,0.0,2,male,28.0,0,1,33.0,Southampton,0.0
850,0.0,3,male,4.0,4,2,31.275,Southampton,0.0
851,0.0,3,male,74.0,0,0,7.775,Southampton,0.0
852,0.0,3,female,9.0,1,1,15.2458,Cherbourg,1.0
853,1.0,1,female,16.0,0,1,39.4,Cherbourg,1.0
854,0.0,2,female,44.0,1,0,26.0,Southampton,1.0
855,1.0,3,female,18.0,0,1,9.35,Southampton,1.0
